"shelter_code","name","kana","address","tel","fax","email_address","admin_name","capacity","shelter_type","address_code","latitude","longitude","remarks"
"04202I00000000000001","石巻小学校","","泉町一丁目1番2号","22-6545","","","","","","","38.428954","141.305277",""
"04202I00000000000002","石巻中央公民館","","日和が丘一丁目2番7号","22-2970","","","","","","","38.427568","141.305218",""
"04202I00000000000003","羽黒山公園","","羽黒町一丁目","","","","","","","","","",""
"04202I00000000000004","石巻中学校","","泉町四丁目7番15号","95-8341","","","","","","","38.428362","141.297932",""
"04202I00000000000005","門脇中学校","","泉町四丁目7番12号","22-2675","","","","","","","38.42811","141.296918",""
"04202I00000000000006","宮城県石巻高等学校","","大手町3番13号","93-8022","","","","","","","38.425857","141.299574",""
"04202I00000000000007","市立女子高等学校","","日和が丘二丁目11番8号","22-4421","","","","","","","","",""
"04202I00000000000008","日和山公園","","日和が丘二丁目","","","","","","","","","",""
"04202I00000000000009","門脇小学校","","門脇町四丁目2番11号","95-7182","","","","","","","","",""
"04202I00000000000010","雲雀野公園","","雲雀野町一丁目","","","","","","","","","",""
"04202I00000000000011","貞山小学校","","貞山五丁目3番1号","95-8121","","","","","","","","",""
"04202I00000000000012","山下中学校","","貞山五丁目3番2号","94-0410","","","","","","","","",""
"04202I00000000000013","宮城県石巻工業高等学校","","貞山五丁目1番1号","22-6338","","","","","","","","",""
"04202I00000000000014","宮城県石巻好文館高等学校","","貞山三丁目4番1号","22-9161","","","","","","","","",""
"04202I00000000000015","山下小学校","","山下町一丁目10番10号","22-4569","","","","","","","38.432467","141.295852",""
"04202I00000000000016","総合体育館","","泉町三丁目1番63号","95-8998","","","","","","","","",""
"04202I00000000000017","宮城県石巻高等技術専門校","","門脇字青葉西27番1","22-1719","","","","","","","","",""
"04202I00000000000018","上釜会館","","門脇字浦屋敷4番地3","22-9882","","","","","","","","",""
"04202I00000000000019","重吉神社","","新館二丁目6番105号","","","","","","","","","",""
"04202I00000000000020","三軒屋公園","","大街道東三丁目","","","","","","","","","",""
