"address_code","state","city","section","street","area_code","postal_code","number_of_household","number_of_people","remarks","polygon"
"041010001000","宮城県","仙台市青葉区","あけぼの町","","","","","","",""
"041010002001","宮城県","仙台市青葉区","みやぎ台一丁目","","","","","","",""
"041010002002","宮城県","仙台市青葉区","みやぎ台二丁目","","","","","","",""
"041010002003","宮城県","仙台市青葉区","みやぎ台三丁目","","","","","","",""
"041010002004","宮城県","仙台市青葉区","みやぎ台四丁目","","","","","","",""
"041010002005","宮城県","仙台市青葉区","みやぎ台五丁目","","","","","","",""
"041010003001","宮城県","仙台市青葉区","愛子中央一丁目","","","","","","",""
"041010003002","宮城県","仙台市青葉区","愛子中央二丁目","","","","","","",""
"041010003003","宮城県","仙台市青葉区","愛子中央三丁目","","","","","","",""
"041010003004","宮城県","仙台市青葉区","愛子中央四丁目","","","","","","",""
"041010003005","宮城県","仙台市青葉区","愛子中央五丁目","","","","","","",""
"041010003006","宮城県","仙台市青葉区","愛子中央六丁目","","","","","","",""
"041010004001","宮城県","仙台市青葉区","愛子東一丁目","","","","","","",""
"041010004002","宮城県","仙台市青葉区","愛子東二丁目","","","","","","",""
"041010004003","宮城県","仙台市青葉区","愛子東三丁目","","","","","","",""
"041010004004","宮城県","仙台市青葉区","愛子東四丁目","","","","","","",""
"041010004005","宮城県","仙台市青葉区","愛子東五丁目","","","","","","",""
"041010004006","宮城県","仙台市青葉区","愛子東六丁目","","","","","","",""
"041010005001","宮城県","仙台市青葉区","旭ケ丘一丁目","","","","","","",""
"041010005002","宮城県","仙台市青葉区","旭ケ丘二丁目","","","","","","",""
"041010005003","宮城県","仙台市青葉区","旭ケ丘三丁目","","","","","","",""
"041010005004","宮城県","仙台市青葉区","旭ケ丘四丁目","","","","","","",""
"041010006001","宮城県","仙台市青葉区","一番町一丁目","","","","","","",""
"041010006002","宮城県","仙台市青葉区","一番町二丁目","","","","","","",""
"041010006003","宮城県","仙台市青葉区","一番町三丁目","","","","","","",""
"041010006004","宮城県","仙台市青葉区","一番町四丁目","","","","","","",""
"041010007000","宮城県","仙台市青葉区","芋沢字奥武士","","","","","","",""
"041010008000","宮城県","仙台市青葉区","芋沢字横手","","","","","","",""
"041010009000","宮城県","仙台市青葉区","芋沢字柿崎","","","","","","",""
"041010010000","宮城県","仙台市青葉区","芋沢字向寺南","","","","","","",""
"041010011000","宮城県","仙台市青葉区","芋沢字綱木","","","","","","",""
"041010012000","宮城県","仙台市青葉区","芋沢字小倉東","","","","","","",""
"041010013000","宮城県","仙台市青葉区","芋沢字上新田","","","","","","",""
"041010014000","宮城県","仙台市青葉区","芋沢字青野木","","","","","","",""
"041010015000","宮城県","仙台市青葉区","芋沢字赤坂","","","","","","",""
"041010016000","宮城県","仙台市青葉区","芋沢字大勝草","","","","","","",""
"041010017000","宮城県","仙台市青葉区","芋沢字大竹","","","","","","",""
"041010018000","宮城県","仙台市青葉区","芋沢字大竹原","","","","","","",""
"041010019000","宮城県","仙台市青葉区","芋沢字大竹中","","","","","","",""
"041010020000","宮城県","仙台市青葉区","芋沢字中居","","","","","","",""
"041010021000","宮城県","仙台市青葉区","芋沢字中山下","","","","","","",""
"041010022000","宮城県","仙台市青葉区","芋沢字中山中","","","","","","",""
"041010023000","宮城県","仙台市青葉区","芋沢字白坂","","","","","","",""
"041010024000","宮城県","仙台市青葉区","芋沢字畑前","","","","","","",""
"041010025000","宮城県","仙台市青葉区","芋沢字本郷","","","","","","",""
"041010026000","宮城県","仙台市青葉区","芋沢字明神","","","","","","",""
"041010027000","宮城県","仙台市青葉区","下愛子字山岸","","","","","","",""
"041010028000","宮城県","仙台市青葉区","下愛子字山鳥","","","","","","",""
"041010029000","宮城県","仙台市青葉区","下愛子字青木","","","","","","",""
"041010030001","宮城県","仙台市青葉区","花京院一丁目","","","","","","",""
"041010030002","宮城県","仙台市青葉区","花京院二丁目","","","","","","",""
"041010031000","宮城県","仙台市青葉区","花壇","","","","","","",""
"041010032001","宮城県","仙台市青葉区","貝ケ森一丁目","","","","","","",""
"041010032002","宮城県","仙台市青葉区","貝ケ森二丁目","","","","","","",""
"041010032003","宮城県","仙台市青葉区","貝ケ森三丁目","","","","","","",""
"041010032004","宮城県","仙台市青葉区","貝ケ森四丁目","","","","","","",""
"041010032005","宮城県","仙台市青葉区","貝ケ森五丁目","","","","","","",""
"041010032006","宮城県","仙台市青葉区","貝ケ森六丁目","","","","","","",""
"041010033000","宮城県","仙台市青葉区","菊田町","","","","","","",""
"041010034001","宮城県","仙台市青葉区","吉成一丁目","","","","","","",""
"041010034002","宮城県","仙台市青葉区","吉成二丁目","","","","","","",""
"041010034003","宮城県","仙台市青葉区","吉成三丁目","","","","","","",""
"041010035001","宮城県","仙台市青葉区","吉成台一丁目","","","","","","",""
"041010035002","宮城県","仙台市青葉区","吉成台二丁目","","","","","","",""
"041010036001","宮城県","仙台市青葉区","宮町一丁目","","","","","","",""
"041010036002","宮城県","仙台市青葉区","宮町二丁目","","","","","","",""
"041010036003","宮城県","仙台市青葉区","宮町三丁目","","","","","","",""
"041010036004","宮城県","仙台市青葉区","宮町四丁目","","","","","","",""
"041010036005","宮城県","仙台市青葉区","宮町五丁目","","","","","","",""
"041010037001","宮城県","仙台市青葉区","魚五郎一丁目","","","","","","",""
"041010037002","宮城県","仙台市青葉区","魚五郎二丁目","","","","","","",""
"041010038001","宮城県","仙台市青葉区","錦ケ丘一丁目","","","","","","",""
"041010038002","宮城県","仙台市青葉区","錦ケ丘二丁目","","","","","","",""
"041010038003","宮城県","仙台市青葉区","錦ケ丘三丁目","","","","","","",""
"041010038004","宮城県","仙台市青葉区","錦ケ丘四丁目","","","","","","",""
"041010038005","宮城県","仙台市青葉区","錦ケ丘五丁目","","","","","","",""
"041010038006","宮城県","仙台市青葉区","錦ケ丘六丁目","","","","","","",""
"041010038007","宮城県","仙台市青葉区","錦ケ丘七丁目","","","","","","",""
"041010038008","宮城県","仙台市青葉区","錦ケ丘八丁目","","","","","","",""
"041010038009","宮城県","仙台市青葉区","錦ケ丘九丁目","","","","","","",""
"041010039001","宮城県","仙台市青葉区","錦町一丁目","","","","","","",""
"041010039002","宮城県","仙台市青葉区","錦町二丁目","","","","","","",""
"041010040001","宮城県","仙台市青葉区","栗生一丁目","","","","","","",""
"041010040002","宮城県","仙台市青葉区","栗生二丁目","","","","","","",""
"041010040003","宮城県","仙台市青葉区","栗生三丁目","","","","","","",""
"041010040004","宮城県","仙台市青葉区","栗生四丁目","","","","","","",""
"041010040005","宮城県","仙台市青葉区","栗生五丁目","","","","","","",""
"041010040006","宮城県","仙台市青葉区","栗生六丁目","","","","","","",""
